path,label,hash,h_mean,h_std,s_mean,s_std,h_hist_0,h_hist_1,h_hist_2,h_hist_3,h_hist_4,h_hist_5,h_hist_6,h_hist_7,h_hist_8,h_hist_9,h_hist_10,h_hist_11,h_hist_12,h_hist_13,h_hist_14,h_hist_15,glcm_contrast,glcm_homogeneity,edge_density,area,perimeter,circularity,aspect_ratio
dataset/train_data\Diseased_leaf\Diseased_leaf 1.jpeg,Diseased_leaf,3d9c16f39dc08d284a14f46885a5e991,0.32588774847601976,0.05476712811464902,0.26206453815243214,0.24222252019550303,0.0,0.016050957194084788,0.721592366695404,0.2703821659088135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10664088561632232,0.368317154430225,0.10665251240588207,0.9585839171678344,0.5581442102785553,0.5196782157357589,0.09782609706182058
dataset/train_data\Diseased_leaf\Diseased_leaf 10.jpeg,Diseased_leaf,880527906bb10520d70a14ae76afdfbc,0.7416410160917104,0.30418363809749766,0.1974726515820164,0.13335756484872632,0.05048417168157781,0.03840833615163996,0.039710309356451035,0.041500527411699295,0.061762552708387375,0.10735790678511006,0.38431063115987246,0.3358740702029165,0.019411433577595838,0.0,0.00015054114755857744,0.003226639548436078,0.004240726622723856,0.0037467231782837723,0.004468314089395782,0.013426641649890193,0.2494997556275494,0.5703899739324018,0.12630988872374352,0.782720565441131,0.6229687108288855,0.3406210615265336,0.09782609706182058
dataset/train_data\Diseased_leaf\Diseased_leaf 100.jpeg,Diseased_leaf,7dc416b881f1b78eb45b17f3424670fd,0.6578569724825293,0.31253277728788537,0.20474479995178063,0.1650783259240643,0.0011454356143680033,0.035057276941213245,0.09024643898010254,0.0951058641076088,0.1082957312464714,0.20700538234200905,0.3129900308642344,0.18063021840672883,0.014611783029771253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873160345153678,0.706451966746609,0.2115392032500967,0.25447950895901794,0.34169578497973757,0.3681042206319361,0.2236025053238683
dataset/train_data\Diseased_leaf\Diseased_leaf 101.jpeg,Diseased_leaf,5c8fa2ae81fb7122a9a1f39d697a8235,0.6275952095028771,0.2870026336410834,0.30716840111271015,0.31710445598910564,0.031277107074048904,0.0652208927537075,0.07654618471860886,0.08738955855369568,0.10048192739486694,0.31089209975690413,0.38778136621064274,0.032768987441561544,0.0008669868715657621,0.0,0.0,0.0,0.0,0.0,0.0,0.0017670681610040542,0.1934872553200862,0.5245357249564014,0.17358322180997413,0.5087110174220348,0.37858263440332385,0.5994417501310658,0.17888200489795894
dataset/train_data\Diseased_leaf\Diseased_leaf 102.jpeg,Diseased_leaf,bc2fea599ef349e60e262b50cb20ae56,0.31528262800368073,0.06744185578600756,0.2606882147509769,0.20089566403578113,0.0029850745207887284,0.04993216171051999,0.7786521911621094,0.19484396278858185,0.0010854817228391767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43245016004067827,0.42838092335127786,0.08653701192708359,0.6916733833467668,0.84472603871712,0.1637067258513017,0.09782609706182058
dataset/train_data\Diseased_leaf\Diseased_leaf 103.jpeg,Diseased_leaf,d6c6575bc4c34b93566754abcd6e1c17,0.43205924646841615,0.1065011766158656,0.19487167127096566,0.16943968178240168,0.0,0.03608247695356333,0.11211340129375458,0.6288659572601318,0.23840206861495972,0.0028865132836097982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03894047554031187,0.9564842577437159,0.2878006873402004,0.03431706863413727,0.09943449879051354,0.5861830109893268,0.08631714260192547
dataset/train_data\Diseased_leaf\Diseased_leaf 104.jpeg,Diseased_leaf,cafdcbb20206a6fe57d110e525e26777,0.42923370459004634,0.19339099500406629,0.25766199151935393,0.3489382944871792,0.03721304611226779,0.1071284839068036,0.19049537181854248,0.35682642459869385,0.31816351413726807,0.07352180853847666,0.009673496748040713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22747232726925556,0.8000717719622219,0.2823645232571392,0.07164114328228657,0.15335191853123237,0.514495170710636,0.06225297021200133
dataset/train_data\Diseased_leaf\Diseased_leaf 105.jpeg,Diseased_leaf,3e0b5ed92804cd0ef3630fadc38b759f,0.46104886487511254,0.2153041550056697,0.2188921609736744,0.2389703362627849,0.0,0.013333335245649247,0.28833332657814026,0.1616666615009308,0.36000001430511475,0.1978608648435898,0.006672026014182993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06632533734446008,0.9612488670241629,0.3055555556134713,0.023715047430094862,0.11035642647925836,0.3288712900124208,0.024936063662805232
dataset/train_data\Diseased_leaf\Diseased_leaf 106.jpeg,Diseased_leaf,9d422cf32dd2ab4ce4c3c2435fd2d583,0.5152412331750823,0.27072842491610427,0.29729490279389836,0.40643876579590693,0.0029203538843883907,0.06902656036931996,0.17013274133205414,0.2037610560655594,0.21305309236049652,0.2750361880190888,0.11469389438156402,0.017106579372176314,0.0,0.0,0.0012278761565108368,0.005848403058663579,0.0,0.0,0.0,0.0,0.2962725175976652,0.702539987356945,0.37954768935629435,0.22112344224688452,0.3357663438253386,0.33125137157622153,0.030570655331818925
dataset/train_data\Diseased_leaf\Diseased_leaf 107.jpeg,Diseased_leaf,f3788261f88cd6e8ad45eb830af720cf,0.3883320166142019,0.24586622812890307,0.2541957062238499,0.20512744004375702,0.39337746520705624,0.3973510441006475,0.11258278042078018,0.21192052960395813,0.41721853613853455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02593363547412494,0.9833371162631942,0.5739514349762208,0.004123008246016493,0.030315876924847503,0.7576544084849205,0.11739130565217377
dataset/train_data\Diseased_leaf\Diseased_leaf 108.jpeg,Diseased_leaf,54e359d981f6dcf9cd37282f303e187d,0.40908676760918883,0.13820775568277716,0.24527734905040793,0.2991514149898952,0.016085488335475673,0.05511811660148103,0.21897262334823608,0.4409448802471161,0.30727410316467285,0.0031495140910645703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36884481244605494,0.6058584717834956,0.1885181019407544,0.1753983507967016,0.3159546046378748,0.2967381259127567,0.04118993556545823
